ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2019;;;;
UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO; POPULAÇÃO ESTIMADA 
RO;11;00015;Alta Floresta D'Oeste;22,945
RO;11;00023;Ariquemes;107,863
RO;11;00031;Cabixi;5,312
RO;11;00049;Cacoal;85,359
RO;11;00056;Cerejeiras;16,323
RO;11;00064;Colorado do Oeste;15,882
RO;11;00072;Corumbiara;7,391
RO;11;00080;Costa Marques;18,331
RO;11;00098;Espigão D'Oeste;32,374
RO;11;00106;Guajará-Mirim;46,174
RO;11;00114;Jaru;51,775
RO;11;00122;Ji-Paraná;128,969
RO;11;00130;Machadinho D'Oeste;39,991
RO;11;00148;Nova Brasilândia D'Oeste;20,474
RO;11;00155;Ouro Preto do Oeste;36,035
RO;11;00189;Pimenta Bueno;36,660
RO;11;00205;Porto Velho;529.544(1)
RO;11;00254;Presidente Médici;18,986
RO;11;00262;Rio Crespo;3,764
RO;11;00288;Rolim de Moura;55,058
RO;11;00296;Santa Luzia D'Oeste;6,495
RO;11;00304;Vilhena;99,854
RO;11;00320;São Miguel do Guaporé;23,005
RO;11;00338;Nova Mamoré;30,583
RO;11;00346;Alvorada D'Oeste;14,411
RO;11;00379;Alto Alegre dos Parecis;13,241
RO;11;00403;Alto Paraíso;21,428
RO;11;00452;Buritis;39,654
RO;11;00502;Novo Horizonte do Oeste;8,538
RO;11;00601;Cacaulândia;6,230
RO;11;00700;Campo Novo de Rondônia;14,139
RO;11;00809;Candeias do Jamari;26,693
RO;11;00908;Castanheiras;3,052
RO;11;00924;Chupinguaia;11,182
RO;11;00940;Cujubim;25,215
RO;11;01005;Governador Jorge Teixeira;7,767
RO;11;01104;Itapuã do Oeste;10,458
RO;11;01203;Ministro Andreazza;9,660
RO;11;01302;Mirante da Serra;10,947
RO;11;01401;Monte Negro;15,852
RO;11;01435;Nova União;6,970
RO;11;01450;Parecis;6,074
RO;11;01468;Pimenteiras do Oeste;2,169
RO;11;01476;Primavera de Rondônia;2,856
RO;11;01484;São Felipe D'Oeste;5,172
RO;11;01492;São Francisco do Guaporé;20,266
RO;11;01500;Seringueiras;11,856
RO;11;01559;Teixeirópolis;4,308
RO;11;01609;Theobroma;10,444
RO;11;01708;Urupá;11,467
RO;11;01757;Vale do Anari;11,204
RO;11;01807;Vale do Paraíso;6,825
AC;12;00013;Acrelândia;15,256
