,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
0,RO,11.0,15.0,Alta Floresta D'Oeste,22945
1,RO,11.0,23.0,Ariquemes,107863
2,RO,11.0,31.0,Cabixi,5312
3,RO,11.0,49.0,Cacoal,85359
4,RO,11.0,56.0,Cerejeiras,16323
5,RO,11.0,64.0,Colorado do Oeste,15882
6,RO,11.0,72.0,Corumbiara,7391
7,RO,11.0,80.0,Costa Marques,18331
8,RO,11.0,98.0,Espigão D'Oeste,32374
9,RO,11.0,106.0,Guajará-Mirim,46174
10,RO,11.0,114.0,Jaru,51775
11,RO,11.0,122.0,Ji-Paraná,128969
12,RO,11.0,130.0,Machadinho D'Oeste,39991
13,RO,11.0,148.0,Nova Brasilândia D'Oeste,20474
14,RO,11.0,155.0,Ouro Preto do Oeste,36035
15,RO,11.0,189.0,Pimenta Bueno,36660
16,RO,11.0,205.0,Porto Velho,529544
17,RO,11.0,254.0,Presidente Médici,18986
18,RO,11.0,262.0,Rio Crespo,3764
19,RO,11.0,288.0,Rolim de Moura,55058
20,RO,11.0,296.0,Santa Luzia D'Oeste,6495
21,RO,11.0,304.0,Vilhena,99854
22,RO,11.0,320.0,São Miguel do Guaporé,23005
23,RO,11.0,338.0,Nova Mamoré,30583
24,RO,11.0,346.0,Alvorada D'Oeste,14411
25,RO,11.0,379.0,Alto Alegre dos Parecis,13241
26,RO,11.0,403.0,Alto Paraíso,21428
27,RO,11.0,452.0,Buritis,39654
28,RO,11.0,502.0,Novo Horizonte do Oeste,8538
29,RO,11.0,601.0,Cacaulândia,6230
30,RO,11.0,700.0,Campo Novo de Rondônia,14139
31,RO,11.0,809.0,Candeias do Jamari,26693
32,RO,11.0,908.0,Castanheiras,3052
33,RO,11.0,924.0,Chupinguaia,11182
34,RO,11.0,940.0,Cujubim,25215
35,RO,11.0,1005.0,Governador Jorge Teixeira,7767
36,RO,11.0,1104.0,Itapuã do Oeste,10458
37,RO,11.0,1203.0,Ministro Andreazza,9660
38,RO,11.0,1302.0,Mirante da Serra,10947
39,RO,11.0,1401.0,Monte Negro,15852
40,RO,11.0,1435.0,Nova União,6970
41,RO,11.0,1450.0,Parecis,6074
42,RO,11.0,1468.0,Pimenteiras do Oeste,2169
43,RO,11.0,1476.0,Primavera de Rondônia,2856
44,RO,11.0,1484.0,São Felipe D'Oeste,5172
45,RO,11.0,1492.0,São Francisco do Guaporé,20266
46,RO,11.0,1500.0,Seringueiras,11856
47,RO,11.0,1559.0,Teixeirópolis,4308
48,RO,11.0,1609.0,Theobroma,10444
49,RO,11.0,1708.0,Urupá,11467
50,RO,11.0,1757.0,Vale do Anari,11204
51,RO,11.0,1807.0,Vale do Paraíso,6825
52,AC,12.0,13.0,Acrelândia,15256
53,AC,12.0,54.0,Assis Brasil,7417
54,AC,12.0,104.0,Brasiléia,26278
55,AC,12.0,138.0,Bujari,10266
56,AC,12.0,179.0,Capixaba,11733
57,AC,12.0,203.0,Cruzeiro do Sul,88376
58,AC,12.0,252.0,Epitaciolândia,18411
59,AC,12.0,302.0,Feijó,34780
60,AC,12.0,328.0,Jordão,8317
61,AC,12.0,336.0,Mâncio Lima,18977
62,AC,12.0,344.0,Manoel Urbano,9459
63,AC,12.0,351.0,Marechal Thaumaturgo,18867
64,AC,12.0,385.0,Plácido de Castro,19761
65,AC,12.0,393.0,Porto Walter,11982
66,AC,12.0,401.0,Rio Branco,407319
67,AC,12.0,427.0,Rodrigues Alves,18930
68,AC,12.0,435.0,Santa Rosa do Purus,6540
69,AC,12.0,450.0,Senador Guiomard,23024
70,AC,12.0,500.0,Sena Madureira,45848
71,AC,12.0,609.0,Tarauacá,42567
72,AC,12.0,708.0,Xapuri,19323
73,AC,12.0,807.0,Porto Acre,18504
74,AM,13.0,29.0,Alvarães,16041
75,AM,13.0,60.0,Amaturá,11536
76,AM,13.0,86.0,Anamã,13614
77,AM,13.0,102.0,Anori,21010
78,AM,13.0,144.0,Apuí,21973
79,AM,13.0,201.0,Atalaia do Norte,19921
